Alewife,164,115
Davis,188,115
Porter Square,220,121
Harvard Square,241,141
Central Square,260,160
Kendall/MIT,281,181
Charles/MGH,301,200
Park Street,315,215
Downtown Crossing,334,235
South Station,357,257
Broadway,362,283
Andrew,362,304
JFK/UMass,362,326
Savin Hill,348,344
Fields Corner,334,355
Shawmut,334,375
Ashmont,335,391
Cedar Grove,335,403
Butler,325,420
Milton,310,421
Central Avenue,294,421
Valley Road,278,421
Capen Street,263,421
Mattapan,247,421
North Quincy,409,413
Wollaston,429,432
Quincy Center,448,452
Quincy Adams,468,471
Braintree,474,515
Oak Grove,335,50
Malden Center,335,66
Wellington,335,86
Sullivan Square,335,108
Community College,337,130
North Station,332,162
Haymarket,347,179
State,353,215
Downtown Crossing,334,235
Chinatown,317,252
New England Medical Center,305,264
Back Bay,295,274
Massachusetts Avenue,285,283
Ruggles,277,292
Roxbury Crossing,266,303
Jackson Square,256,311
Stony Brook,246,323
Green Street,236,332
Forest Hills,227,342
Lechmere,304,132
Science Park,323,151
North Station,333,161
Haymarket,347,179
Government Center,336,196
Park Street,316,215
Boylston,302,230
Arlington,286,236
Copley,270,236
Hynes Convention Center,255,235
Kenmore,241,235
Blandford Street,231,225
Boston University East,227,222
Boston University Central,223,218
Boston University West,219,214
St. Paul Street (1),215,210
Pleasant Street,210,205
Babcock Street,198,204
Packards Corner,179,205
Harvard Avenue,174,207
Griggs Street/Long Avenue,170,211
Allston Street,164,215
Warren Street,161,219
Washington Street,157,224
Sutherland Street,151,227
Chiswick Road,140,227
Chestnut Hill Avenue,134,222
South Street,129,219
Boston College,124,213
St. Marys Street,218,236
Hawes Street,212,236
Kent Street,207,235
St. Paul Street (2),201,236
Coolidge Corner,195,236
Summit Avenue,191,236
Brandon Hall,184,235
Fairbanks,178,235
Washington Square,172,236
Tappan Street,167,236
Dean Road,161,236
Englewood Avenue,154,236
Cleveland Circle,148,235
Fenway,217,245
Longwood,206,257
Brookline Village,194,270
Brookline Hills,169,269
Beaconsfield,155,253
Reservoir,141,242
Chestnut Hill,127,240
Newton Center,114,240
Newton Highlands,101,239
Eliot,88,239
Waban,76,239
Woodland,63,239
Riverside,44,239
Prudential,255,263
Symphony,250,267
Northeastern University,246,272
Museum of Fine Arts,242,276
Longwood Medical Area,238,281
Brigham Circle,233,285
Fenwood Street,229,290
Mission Park,226,294
Riverway,226,299
Back of the Hill,226,306
Heath Street,226,315
Wonderland,506,62
Revere Beach,490,79
Beachmont,475,93
Suffolk Downs,461,107
Orient Heights,447,122
Wood Island,433,137
Airport,418,151
Maverick,403,165
Aquarium,372,198
State,355,215
Government Center,334,196
Bowdoin,320,182
